"Sort
order","Major area, region, country or area of destination",Notes,Country code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,International migrant stock at mid-year (male),,,,,,International migrant stock at mid-year (female),,,,,
,,,,,1990,1995,2000,2005,2010,2015,1990,1995,2000,2005,2010,2015,1990,1995,2000,2005,2010,2015
1,WORLD,,900,, 152 563 212, 160 801 752, 172 703 309, 191 269 100, 221 714 243, 243 700 236, 77 747 510, 81 737 477, 87 884 839, 97 866 674, 114 613 714, 126 115 435, 74 815 702, 79 064 275, 84 818 470, 93 402 426, 107 100 529, 117 584 801
2,Developed regions,(b),901,, 82 378 628, 92 306 854, 103 375 363, 117 181 109, 132 560 325, 140 481 955, 40 263 397, 45 092 799, 50 536 796, 57 217 777, 64 081 077, 67 618 619, 42 115 231, 47 214 055, 52 838 567, 59 963 332, 68 479 248, 72 863 336
3,Developing regions,(c),902,, 70 184 584, 68 494 898, 69 327 946, 74 087 991, 89 153 918, 103 218 281, 37 484 113, 36 644 678, 37 348 043, 40 648 897, 50 532 637, 58 496 816, 32 700 471, 31 850 220, 31 979 903, 33 439 094, 38 621 281, 44 721 465
4,Least developed countries,(d),941,, 11 075 966, 11 711 703, 10 077 824, 9 809 634, 10 018 128, 11 951 316, 5 843 107, 6 142 712, 5 361 902, 5 383 009, 5 462 714, 6 463 217, 5 236 216, 5 573 685, 4 721 920, 4 432 371, 4 560 536, 5 493 028
5,Less developed regions excluding least developed countries,,934,, 59 105 261, 56 778 501, 59 244 124, 64 272 611, 79 130 668, 91 262 036, 31 641 006, 30 501 966, 31 986 141, 35 265 888, 45 069 923, 52 033 599, 27 464 255, 26 276 535, 27 257 983, 29 006 723, 34 060 745, 39 228 437
6,Sub-Saharan Africa,(e),947,, 14 690 319, 15 324 570, 13 716 539, 13 951 086, 15 496 764, 18 993 986, 7 745 306, 8 036 824, 7 210 452, 7 444 048, 8 188 581, 10 099 486, 6 945 013, 7 287 746, 6 506 087, 6 507 038, 7 308 183, 8 894 500
7,Africa,,903,, 15 690 623, 16 352 814, 14 800 306, 15 191 146, 16 840 014, 20 649 557, 8 279 564, 8 616 931, 7 856 358, 8 231 437, 9 039 314, 11 123 423, 7 411 059, 7 735 883, 6 943 948, 6 959 709, 7 800 700, 9 526 134
8,Eastern Africa,,910,, 5 964 031, 5 022 742, 4 844 795, 4 745 792, 4 657 063, 6 129 113, 3 071 189, 2 585 053, 2 480 584, 2 529 460, 2 366 216, 3 109 176, 2 892 842, 2 437 689, 2 364 211, 2 216 332, 2 290 847, 3 019 937
9,Burundi,,108,B R,  333 110,  254 853,  125 628,  172 874,  235 259,  286 810,  163 267,  124 165,  61 094,  84 805,  115 823,  141 311,  169 843,  130 688,  64 534,  88 069,  119 436,  145 499
10,Comoros,,174,B,  14 079,  13 939,  13 799,  13 209,  12 618,  12 555,  6 717,  6 614,  6 511,  6 286,  6 060,  6 071,  7 362,  7 325,  7 288,  6 923,  6 558,  6 484
